date,newDeaths28DaysByDeathDate,newAdmissions,hospitalCases,hospitalDeaths,otherDeaths,newDischarges
2022-12-19,16,1296.0,8006.0,15.0,1.0,
2022-12-18,53,1176.0,7688.0,49.0,4.0,
2022-12-17,55,799.0,7396.0,51.0,4.0,
2022-12-16,78,834.0,7157.0,72.0,6.0,
2022-12-15,71,1064.0,6924.0,66.0,5.0,
2022-12-14,71,963.0,6720.0,66.0,5.0,
2022-12-13,73,1026.0,6369.0,68.0,5.0,
2022-12-12,84,965.0,6171.0,78.0,6.0,
2022-12-11,76,872.0,6057.0,71.0,5.0,631.0
2022-12-10,69,582.0,5920.0,64.0,5.0,621.0
2022-12-09,87,607.0,5771.0,81.0,6.0,600.0
2022-12-08,71,697.0,5632.0,66.0,5.0,561.0
2022-12-07,79,748.0,5501.0,73.0,6.0,540.0
2022-12-06,77,779.0,5382.0,72.0,5.0,537.0
2022-12-05,60,724.0,5285.0,56.0,4.0,520.0
2022-12-04,57,589.0,5155.0,53.0,4.0,480.0
2022-12-03,63,498.0,5022.0,59.0,4.0,469.0
2022-12-02,70,468.0,5027.0,65.0,5.0,474.0
2022-12-01,67,583.0,4990.0,62.0,5.0,472.0
2022-11-30,55,590.0,4964.0,51.0,4.0,468.0
2022-11-29,54,661.0,4847.0,50.0,4.0,455.0
2022-11-28,68,639.0,4775.0,63.0,5.0,445.0
2022-11-27,60,557.0,4639.0,56.0,4.0,439.0
2022-11-26,67,438.0,4568.0,62.0,5.0,439.0
2022-11-25,47,443.0,4638.0,44.0,3.0,448.0
2022-11-24,66,522.0,4701.0,61.0,5.0,453.0
2022-11-23,73,536.0,4600.0,68.0,5.0,433.0
2022-11-22,72,547.0,4678.0,67.0,5.0,442.0
2022-11-21,71,503.0,4709.0,66.0,5.0,437.0
2022-11-20,64,434.0,4706.0,59.0,5.0,438.0
2022-11-19,64,395.0,4696.0,59.0,5.0,441.0
2022-11-18,75,437.0,4771.0,70.0,5.0,437.0
2022-11-17,75,516.0,4842.0,70.0,5.0,436.0
2022-11-16,58,542.0,5010.0,54.0,4.0,477.0
2022-11-15,81,494.0,5165.0,75.0,6.0,479.0
2022-11-14,85,522.0,5284.0,79.0,6.0,493.0
2022-11-13,82,445.0,5269.0,76.0,6.0,490.0
2022-11-12,78,370.0,5258.0,72.0,6.0,485.0
2022-11-11,107,435.0,5372.0,99.0,8.0,486.0
2022-11-10,75,550.0,5547.0,70.0,5.0,505.0
2022-11-09,95,535.0,5647.0,88.0,7.0,490.0
2022-11-08,98,550.0,5905.0,91.0,7.0,510.0
2022-11-07,117,598.0,6075.0,109.0,8.0,524.0
2022-11-06,99,500.0,6234.0,92.0,7.0,555.0
2022-11-05,108,396.0,6358.0,100.0,8.0,574.0
2022-11-04,101,410.0,6641.0,94.0,7.0,595.0
2022-11-03,118,568.0,6969.0,110.0,8.0,614.0
2022-11-02,103,571.0,7296.0,96.0,7.0,650.0
2022-11-01,122,689.0,7591.0,113.0,9.0,672.0
2022-10-31,115,630.0,8019.0,107.0,8.0,714.0
2022-10-30,134,640.0,8235.0,125.0,9.0,737.0
2022-10-29,132,518.0,8324.0,123.0,9.0,746.0
2022-10-28,127,558.0,8663.0,118.0,9.0,772.0
2022-10-27,128,773.0,8860.0,119.0,9.0,781.0
2022-10-26,137,857.0,9131.0,127.0,10.0,810.0
2022-10-25,135,863.0,9373.0,125.0,10.0,825.0
2022-10-24,143,870.0,9692.0,133.0,10.0,840.0
2022-10-23,141,884.0,9755.0,131.0,10.0,852.0
2022-10-22,145,785.0,9777.0,135.0,10.0,879.0
2022-10-21,161,831.0,9935.0,150.0,11.0,888.0
2022-10-20,157,1053.0,10129.0,146.0,11.0,924.0
2022-10-19,138,1064.0,10387.0,128.0,10.0,951.0
2022-10-18,136,1101.0,10594.0,126.0,10.0,980.0
2022-10-17,156,1121.0,10688.0,145.0,11.0,982.0
2022-10-16,162,1206.0,10584.0,151.0,11.0,1001.0
2022-10-15,136,900.0,10502.0,126.0,10.0,1004.0
2022-10-14,148,978.0,10420.0,138.0,10.0,993.0
2022-10-13,132,1247.0,10524.0,123.0,9.0,1011.0
2022-10-12,150,1150.0,10608.0,139.0,11.0,997.0
2022-10-11,144,1207.0,10522.0,134.0,10.0,969.0
2022-10-10,120,1275.0,10397.0,111.0,9.0,964.0
2022-10-09,128,1252.0,10181.0,119.0,9.0,959.0
2022-10-08,115,885.0,10049.0,107.0,8.0,953.0
2022-10-07,126,946.0,10070.0,117.0,9.0,966.0
2022-10-06,118,1163.0,9922.0,110.0,8.0,920.0
2022-10-05,126,1259.0,9631.0,117.0,9.0,885.0
2022-10-04,114,1418.0,9287.0,106.0,8.0,882.0
2022-10-03,102,1344.0,8854.0,95.0,7.0,850.0
2022-10-02,90,1262.0,8374.0,84.0,6.0,819.0
2022-10-01,92,1091.0,8069.0,85.0,7.0,827.0
2022-09-30,94,870.0,7672.0,87.0,7.0,761.0
2022-09-29,90,1158.0,7281.0,84.0,6.0,729.0
2022-09-28,76,1134.0,7024.0,71.0,5.0,723.0
2022-09-27,79,1045.0,6758.0,73.0,6.0,685.0
2022-09-26,83,998.0,6439.0,77.0,6.0,655.0
2022-09-25,66,971.0,6045.0,61.0,5.0,629.0
2022-09-24,62,727.0,5773.0,58.0,4.0,585.0
2022-09-23,58,704.0,5604.0,54.0,4.0,599.0
2022-09-22,62,846.0,5366.0,58.0,4.0,580.0
2022-09-21,49,858.0,5142.0,46.0,3.0,549.0
2022-09-20,71,826.0,4886.0,66.0,5.0,520.0
2022-09-19,64,781.0,4696.0,59.0,5.0,510.0
2022-09-18,63,555.0,4556.0,59.0,4.0,487.0
2022-09-17,55,484.0,4467.0,51.0,4.0,479.0
2022-09-16,48,476.0,4543.0,45.0,3.0,483.0
2022-09-15,58,553.0,4571.0,54.0,4.0,480.0
2022-09-14,46,586.0,4540.0,43.0,3.0,469.0
2022-09-13,61,580.0,4630.0,57.0,4.0,484.0
2022-09-12,53,519.0,4666.0,49.0,4.0,481.0
2022-09-11,45,499.0,4692.0,42.0,3.0,499.0
2022-09-10,47,408.0,4650.0,44.0,3.0,496.0
2022-09-09,47,422.0,4797.0,44.0,3.0,498.0
2022-09-08,52,508.0,4881.0,48.0,4.0,501.0
2022-09-07,62,541.0,4864.0,58.0,4.0,494.0
2022-09-06,52,537.0,5060.0,48.0,4.0,504.0
2022-09-05,65,526.0,5221.0,60.0,5.0,522.0
2022-09-04,72,471.0,5209.0,67.0,5.0,509.0
2022-09-03,56,439.0,5183.0,52.0,4.0,514.0
2022-09-02,72,466.0,5334.0,67.0,5.0,518.0
2022-09-01,68,534.0,5554.0,63.0,5.0,539.0
2022-08-31,94,580.0,5658.0,87.0,7.0,558.0
2022-08-30,62,612.0,5743.0,58.0,4.0,551.0
2022-08-29,65,602.0,5768.0,60.0,5.0,542.0
2022-08-28,78,539.0,5717.0,72.0,6.0,546.0
2022-08-27,75,475.0,5765.0,70.0,5.0,559.0
2022-08-26,71,512.0,5845.0,66.0,5.0,556.0
2022-08-25,70,646.0,6249.0,65.0,5.0,598.0
2022-08-24,68,643.0,6302.0,63.0,5.0,603.0
2022-08-23,78,707.0,6436.0,72.0,6.0,621.0
2022-08-22,89,670.0,6803.0,83.0,6.0,677.0
